Taxa,beta0SD,beta1SD,rsdlSD,b0,b1,b0SE,b1SE,b0t,b1t,p
Unidentified,0.16,7.6e-05,0.16,4,-0.0018,2.7,0.0013,1.5,-1.3,0.18
Cladosporiaceae,0.23,2.2e-05,0.16,0.098,0.00021,2.7,0.0013,0.036,0.15,0.88
